pays,quantité,charbon,gaz,pétrole,hydraulique,renouvelable,nucléaire,%pop,pop
Albania,4.7,0.0,0.0,0.0,100.0,0.0,0.0,100.0,2986952
Algeria,64.2,0.0,97.8,1.8,0.4,0.0,0.0,100.0,34586184
Angola,9.5,0.0,0.0,46.8,53.2,0.0,0.0,32.0,13068161
Argentina,141.3,2.9,47.7,13.8,29.0,2.5,4.1,100.0,41343201
Armenia,7.8,0.0,42.4,0.0,25.7,0.1,31.8,100.0,2968000
Australia,248.3,61.2,21.9,2.0,7.4,7.5,0.0,100.0,21515754
Austria,61.6,8.0,8.8,1.0,66.6,14.6,0.0,100.0,8205000
Azerbaijan,24.7,0.0,93.9,0.2,5.3,0.4,0.0,100.0,8303512
Bahrain,27.3,0.0,100.0,0.0,0.0,0.0,0.0,100.0,738004
Bangladesh,55.8,2.0,82.0,14.7,1.1,0.3,0.0,62.4,156118464
Belarus,34.7,0.1,98.0,1.1,0.3,0.4,0.0,100.0,9685000
Belgium,71.5,6.2,27.0,0.3,0.4,16.6,47.2,100.0,10403000
Benin,0.2,0.0,0.0,99.5,0.0,0.5,0.0,34.1,9056010
Bolivia,8.8,0.0,70.0,2.0,25.7,2.3,0.0,90.0,9947418
Bosnia and Herzegovina,16.2,62.8,0.2,0.3,36.7,0.0,0.0,100.0,4590000
Botswana,2.4,95.8,0.0,4.2,0.0,0.0,0.0,56.5,2029307
Brazil,590.6,4.5,13.7,6.0,63.2,9.9,2.6,99.7,201103330
Brunei,4.5,0.0,99.0,1.0,0.0,0.0,0.0,100.0,395027
Bulgaria,46.9,45.4,4.6,0.4,9.8,5.9,33.8,100.0,7148785
Cambodia,3.1,28.2,0.0,10.7,60.5,0.6,0.0,56.1,14453680
Cameroon,6.9,0.0,12.9,12.8,73.2,1.0,0.0,56.8,19294149
Canada,656.1,9.9,9.4,1.2,58.3,4.5,16.4,100.0,33679000
Chile,73.7,35.3,16.9,6.2,31.3,9.8,0.0,100.0,16746491
China,5665.7,72.6,2.0,0.2,18.6,4.1,2.3,100.0,1330044000
Hong Kong,39.9,76.2,23.0,0.6,0.0,0.2,0.0,100.0,6898686
Ivory Coast,8.3,0.0,69.9,6.1,23.1,0.8,0.0,61.9,21058798
Croatia,13.4,17.6,7.5,1.0,67.0,6.9,0.0,100.0,4491000
Cuba,19.4,0.0,14.4,81.6,0.5,3.5,0.0,100.0,11423000
Curacao,0.9,0.0,0.0,96.4,0.0,3.6,0.0,100.0,141766
Cyprus,4.4,0.0,0.0,92.7,0.0,7.3,0.0,100.0,1102677
Czech Republic,85.0,51.5,1.9,0.0,2.2,8.5,35.7,100.0,10476000
Denmark,32.2,34.4,6.5,1.0,0.0,55.8,0.0,100.0,5484000
Dominican Republic,18.6,13.3,21.5,51.9,8.5,4.7,0.0,98.5,9823821
Ecuador,24.3,0.0,13.3,37.5,47.1,2.0,0.0,99.0,14790608
El Salvador,6.2,0.0,0.0,40.3,27.6,32.1,0.0,95.1,6052064
Eritrea,0.4,0.0,0.0,99.5,0.0,0.5,0.0,45.8,5792984
Estonia,12.4,87.4,0.6,0.3,0.2,10.9,0.0,100.0,1291170
