x,y,z
29.001,-7.814,17.649
29.787,-6.106,15.483
29.265,-6.922,15.799
28.751,-7.72,16.079
28.077,-8.482,16.395
27.403,-9.244,16.707
27.543,-9.272,18.239
26.289,-10.19,18.587
26.699,-9.874,20.619
25.229,-10.686,21.073
25.513,-10.022,21.799
30.475,4.908,19.391
30.569,4.71,19.275
30.499,4.852,19.371
30.507,4.924,19.185
29.683,5.898,20.613
30.281,5.182,19.595
29.415,6.674,19.727
30.067,5.13,17.225
28.999,6.944,17.751
29.785,5.266,15.561
29.265,6.074,15.883
28.749,6.87,16.181
27.739,8.008,16.667
28.075,7.628,16.505
27.541,8.394,18.359
27.401,8.386,16.829
26.287,9.306,18.719
26.697,8.964,20.747
25.227,9.768,21.213
25.651,8.758,22.287
25.511,9.094,21.927
28.017,-7.822,22.361
27.843,-9.106,20.255
27.757,-8.046,22.523
29.417,-7.572,19.629
29.103,-7.058,21.373
28.319,-7.566,22.171
30.283,-6.078,19.517
30.477,-5.802,19.317
30.507,-5.814,19.111
29.685,-6.808,20.525
30.501,-5.744,19.297
30.513,-5.718,19.281
30.653,-5.362,19.109
30.569,-5.602,19.205
31.119,3.12,18.615
31.281,2.668,18.325
31.253,2.716,18.525
31.005,2.904,16.487
31.075,2.844,16.945
30.613,3.156,15.629
30.231,3.382,14.751
29.101,6.136,21.463
29.291,6.014,21.267
27.755,7.108,22.627
28.015,6.886,22.461
27.841,8.2,20.371
26.615,-8.734,22.683
26.615,-8.74,22.673
25.797,-9.36,22.525
26.729,-8.646,22.705
26.771,-8.614,22.713
27.619,-8.106,22.629
30.069,-5.992,17.147
30.231,-4.212,14.699
30.009,-5.16,15.093
26.149,-9.928,16.967
24.895,-10.61,17.223
24.913,-10.696,17.661
24.971,-10.956,18.973
25.035,-10.888,19.497
27.617,7.168,22.733
27.385,7.2,22.935
26.769,7.674,22.825
26.147,9.068,17.117
24.891,9.744,17.363
24.969,10.066,19.117
24.951,9.894,18.249
31.007,-3.758,16.441
30.617,-3.99,15.573
31.281,-3.546,18.283
31.145,-3.652,17.361
29.897,4.796,15.357
30.009,4.326,15.155
25.103,9.912,20.157
29.115,-7.89,17.637
29.267,-6.918,15.789
27.655,-9.338,18.243
26.325,-10.236,18.603
26.733,-9.916,20.627
30.423,5.312,19.365
30.529,5.176,19.251
30.561,5.14,19.199
29.527,6.754,19.703
29.735,6.006,20.533
30.259,5.13,17.177
30.677,4.938,19.035
29.113,7.02,17.739
29.265,6.07,15.875
27.653,8.46,18.365
26.323,9.352,18.739
26.731,9.004,20.757
25.793,8.422,22.647
28.055,-7.832,22.323
27.773,-8.066,22.499
27.955,-9.174,20.243
29.529,-7.652,19.605
29.155,-7.104,21.311
28.355,-7.584,22.131
30.425,-6.204,19.285
29.737,-6.916,20.443
30.531,-6.066,19.171
30.563,-6.032,19.121
31.151,3.156,18.549
31.043,3.588,18.653
31.143,2.786,17.405
30.617,3.148,15.623
29.153,6.184,21.403
29.307,6.094,21.245
27.773,7.128,22.603
28.053,6.896,22.423
27.953,8.268,20.363
26.615,-8.74,22.671
27.621,-8.116,22.625
30.261,-5.992,17.101
30.009,-5.16,15.091
24.931,-10.784,18.099
27.617,7.178,22.729
26.147,9.066,17.109
24.943,9.898,18.245
30.617,-3.988,15.571
30.677,-5.826,18.961
31.043,-4.474,18.599
25.101,9.914,20.159
5.135,1.146,26.959
5.985,0.304,26.321
5.467,-0.494,25.891
8.051,1.882,27.037
8.801,5.344,29.105
9.923,5.032,28.763
9.651,2.97,27.509
9.745,5.086,28.819
4.999,-0.494,25.951
5.045,0.38,26.491
28.411,7.248,16.343
5.171,2.632,28.081
4.755,2.936,28.433
4.773,6.412,31.079
5.313,2.538,27.969
6.171,6.436,30.695
6.353,6.558,30.735
4.281,3.244,28.805
7.505,5.802,29.827
8.337,5.366,29.255
2.773,4.244,29.989
-0.613,5.53,32.223
1.993,4.716,30.649
-0.535,3.902,30.857
2.249,4.544,30.419
-0.909,3.736,30.849
-5.399,3.68,33.259
-3.155,2.354,30.897
-3.535,1.618,30.475
-2.071,3.024,30.877
-4.763,1.688,36.171
-8.597,2.21,33.963
-8.829,1.906,34.277
-9.089,1.472,34.655
-8.809,0.426,35.937
