Date,DOM,BDOM,xGD,BEXT,xGE,EXT
2022-08-05,Lyon,2.0,1.3,1.0,1.5,Ajaccio
2022-08-06,Strasbourg,1.0,0.8,2.0,2.8,Monaco
2022-08-06,Clermont Foot,0.0,0.3,5.0,3.5,Paris S-G
2022-08-07,Toulouse,1.0,0.9,1.0,1.2,Nice
2022-08-07,Lens,3.0,2.5,2.0,1.2,Brest
2022-08-07,Angers,0.0,1.5,0.0,1.5,Nantes
2022-08-07,Lille,4.0,2.4,1.0,0.6,Auxerre
2022-08-07,Montpellier,3.0,1.7,2.0,2.0,Troyes
2022-08-07,Rennes,0.0,1.8,1.0,1.1,Lorient
2022-08-07,Marseille,4.0,2.1,1.0,0.9,Reims
2022-08-12,Nantes,1.0,1.0,1.0,2.0,Lille
2022-08-13,Monaco,1.0,1.8,1.0,2.1,Rennes
2022-08-13,Paris S-G,5.0,3.2,2.0,0.9,Montpellier
2022-08-14,Ajaccio,0.0,0.5,0.0,1.4,Lens
2022-08-14,Reims,2.0,2.7,4.0,1.9,Clermont Foot
2022-08-14,Auxerre,2.0,0.8,2.0,1.4,Angers
2022-08-14,Troyes,0.0,1.0,3.0,1.5,Toulouse
2022-08-14,Nice,1.0,1.6,1.0,0.9,Strasbourg
2022-08-14,Brest,1.0,2.0,1.0,0.7,Marseille
2022-08-19,Lyon,4.0,2.6,1.0,1.0,Troyes
2022-08-20,Monaco,1.0,1.6,4.0,2.5,Lens
2022-08-20,Marseille,2.0,1.1,1.0,2.2,Nantes
2022-08-21,Strasbourg,1.0,1.2,1.0,2.0,Reims
2022-08-21,Montpellier,1.0,1.0,2.0,1.3,Auxerre
2022-08-21,Clermont Foot,1.0,0.7,0.0,1.4,Nice
2022-08-21,Angers,1.0,0.6,3.0,1.8,Brest
2022-08-21,Toulouse,2.0,1.8,2.0,2.5,Lorient
2022-08-21,Rennes,2.0,1.2,1.0,1.4,Ajaccio
2022-08-21,Lille,1.0,1.7,7.0,3.4,Paris S-G
2022-08-26,Ajaccio,1.0,1.5,3.0,1.7,Lille
2022-08-27,Auxerre,1.0,0.7,0.0,1.3,Strasbourg
2022-08-27,Lens,2.0,1.3,1.0,1.0,Rennes
2022-08-28,Nantes,3.0,1.5,1.0,0.6,Toulouse
2022-08-28,Lorient,2.0,2.9,1.0,0.6,Clermont Foot
2022-08-28,Brest,0.0,0.3,7.0,2.5,Montpellier
2022-08-28,Nice,0.0,1.0,3.0,1.4,Marseille
2022-08-28,Troyes,3.0,1.9,1.0,0.7,Angers
2022-08-28,Reims,1.0,0.4,1.0,1.1,Lyon
2022-08-28,Paris S-G,1.0,2.7,1.0,1.2,Monaco
2022-08-31,Strasbourg,1.0,0.4,1.0,1.2,Nantes
